station_id,rmse,mae,n
S-THC 21317937:21326446,0.605169346,0.446569428,3399
S-THC 21317938:21206238,1.14811605,0.897368877,3734
S-THC 21317939:21326342,0.644689044,0.468612149,3985
S-THC 21317940:21326448,0.551449923,0.413526574,4029
S-THC 21317941:21348257,1.249052517,1.044647582,4050
S-THC 21317942:21326340,1.087916361,0.923827153,4114
S-THC 21317943:21326444,1.541069289,1.169542323,4062
S-THC 21317947:21348259,0.686768087,0.543672575,4062
S-THC 21317948:21326445,0.613700869,0.430835719,4080
S-THC 21317949:21206231,0.543318985,0.401245501,4087
S-THC 21317950:21326337,0.695786196,0.541317933,4074
S-THC 21317953:21348258,0.515154515,0.398713464,4038
S-THC 21317958:21206230,0.523689044,0.422103047,4075
S-THC 21317959:21326443,0.421316944,0.315699196,4084
S-THC 21317960:21336805,0.666649265,0.515757039,4094
