station_id,rmse,mae,n
S-THC 21317937:21326446,4.438724464,3.561583579,1253
S-THC 21317938:21206238,4.096786629,3.04199687,647
S-THC 21317939:21326342,3.983400684,3.297398447,1375
S-THC 21317940:21326448,2.262215935,1.797977427,1321
S-THC 21317941:21348257,1.977039567,1.598164528,1404
S-THC 21317942:21326340,5.839497574,4.625638125,964
S-THC 21317943:21326444,9.354704192,8.226243209,300
S-THC 21317947:21348259,3.653464316,3.06700861,1298
S-THC 21317948:21326445,3.161677242,2.557468746,1365
S-THC 21317949:21206231,2.142202884,1.600064393,1397
S-THC 21317950:21326337,2.33994399,1.953830825,1441
S-THC 21317953:21348258,2.361304631,1.893436574,1412
S-THC 21317958:21206230,2.777928437,2.39321137,1399
S-THC 21317959:21326443,2.598502102,2.051923711,1405
S-THC 21317960:21336805,2.336722878,1.880583965,1330
