station_id,rmse,mae,n
S-THC 21317937:21326446,0.614555431,0.470036454,3357
S-THC 21317938:21206238,0.913942993,0.668115433,3599
S-THC 21317939:21326342,0.706085243,0.509382023,3865
S-THC 21317940:21326448,0.700411283,0.518304607,3822
S-THC 21317941:21348257,0.912898883,0.729591305,3914
S-THC 21317942:21326340,1.082530154,0.830065318,3896
S-THC 21317943:21326444,1.728228959,1.424397394,3906
S-THC 21317947:21348259,0.759627985,0.588200472,3930
S-THC 21317948:21326445,0.469111461,0.333990904,3880
S-THC 21317949:21206231,0.493689904,0.375496473,3904
S-THC 21317950:21326337,0.694718316,0.575584825,3895
S-THC 21317953:21348258,0.536211172,0.423250244,3913
S-THC 21317958:21206230,0.832654579,0.749232548,3903
S-THC 21317959:21326443,0.727875621,0.614977058,3915
S-THC 21317960:21336805,0.690316539,0.600462564,3864
