station_id,rmse,mae,n
S-THC 21317937:21326446,0.694406966,0.523502929,8672
S-THC 21317938:21206238,0.934664125,0.781720527,8731
S-THC 21317939:21326342,0.629749646,0.470433997,8665
S-THC 21317940:21326448,0.683041577,0.523839854,8700
S-THC 21317941:21348257,0.531703295,0.367157424,8673
S-THC 21317942:21326340,1.204262787,0.931096575,8734
S-THC 21317943:21326444,1.265205023,0.933902342,8719
S-THC 21317947:21348259,0.537640653,0.398991366,8690
S-THC 21317948:21326445,0.653391512,0.436986807,8668
S-THC 21317949:21206231,0.501636599,0.337435539,8702
S-THC 21317950:21326337,0.482116762,0.376415792,8706
S-THC 21317953:21348258,0.536050739,0.40166407,8653
S-THC 21317958:21206230,0.412219401,0.302888386,8702
S-THC 21317959:21326443,0.430399919,0.319734301,8674
S-THC 21317960:21336805,0.391066268,0.300715875,8743
