station_id,rmse,mae,n
S-THC 21317937:21326446,1.01154899,0.680259871,8672
S-THC 21317938:21206238,1.01519428,0.789830717,8731
S-THC 21317939:21326342,0.649513958,0.494566545,8665
S-THC 21317940:21326448,0.673770426,0.519288804,8700
S-THC 21317941:21348257,0.504691253,0.364424966,8673
S-THC 21317942:21326340,0.974762913,0.856659448,8734
S-THC 21317943:21326444,1.600582855,1.249009911,8719
S-THC 21317947:21348259,0.693422901,0.579472755,8690
S-THC 21317948:21326445,0.621350463,0.41798112,8668
S-THC 21317949:21206231,0.571500731,0.400439534,8702
S-THC 21317950:21326337,0.470511712,0.347002158,8706
S-THC 21317953:21348258,0.538137062,0.401848837,8653
S-THC 21317958:21206230,0.407654185,0.311521714,8702
S-THC 21317959:21326443,0.489528621,0.382660249,8674
S-THC 21317960:21336805,0.585392261,0.442516781,8743
