dt,min_ta,max_ta,sensor_count,delta_ta
2023-09-30 23:55,14.212,18.416,14,4.204
2023-09-30 23:50,14.298,18.395,14,4.097
2023-09-30 23:45,14.341,18.395,14,4.054
2023-09-30 23:40,14.384,18.416,14,4.032
2023-09-30 23:35,14.427,18.459,14,4.032
2023-09-30 23:30,14.47,18.48,14,4.01
2023-09-30 23:25,14.512,18.545,14,4.033
2023-09-30 23:20,14.47,18.652,14,4.182
2023-09-30 23:15,14.384,18.716,14,4.332
2023-09-30 23:10,14.319,18.823,14,4.504
2023-09-30 23:05,14.362,18.974,14,4.612
2023-09-30 23:00,14.448,19.017,14,4.569
2023-09-30 22:55,14.47,19.081,14,4.611
2023-09-30 22:50,14.491,19.145,14,4.654
2023-09-30 22:45,14.534,19.21,14,4.676
2023-09-30 22:40,14.555,19.188,14,4.633
2023-09-30 22:35,14.598,19.188,14,4.59
2023-09-30 22:30,14.577,19.21,14,4.633
2023-09-30 22:25,14.555,19.231,14,4.676
2023-09-30 22:20,14.534,19.295,14,4.761
2023-09-30 22:15,14.62,19.467,14,4.847
2023-09-30 22:10,14.663,19.596,14,4.933
2023-09-30 22:05,14.727,19.617,14,4.89
2023-09-30 22:00,14.834,19.553,14,4.719
2023-09-30 21:55,14.941,19.553,14,4.612
2023-09-30 21:50,14.984,19.681,14,4.697
2023-09-30 21:45,14.963,19.81,14,4.847
2023-09-30 21:40,14.963,19.939,14,4.976
2023-09-30 21:35,14.984,19.939,14,4.955
2023-09-30 21:30,15.027,20.089,14,5.062
2023-09-30 21:25,14.984,20.175,14,5.191
2023-09-30 21:20,15.092,20.282,14,5.19
2023-09-30 21:15,15.134,20.346,14,5.212
2023-09-30 21:10,15.156,20.432,14,5.276
2023-09-30 21:05,15.177,20.539,14,5.362
2023-09-30 21:00,15.22,20.561,14,5.341
2023-09-30 20:55,15.199,20.582,14,5.383
2023-09-30 20:50,15.22,20.647,14,5.427
2023-09-30 20:45,15.285,20.689,14,5.404
2023-09-30 20:40,15.349,20.647,14,5.298
2023-09-30 20:35,15.435,20.689,14,5.254
2023-09-30 20:30,15.499,20.818,14,5.319
2023-09-30 20:25,15.585,20.968,14,5.383
2023-09-30 20:20,15.628,21.033,14,5.405
2023-09-30 20:15,15.649,21.118,14,5.469
2023-09-30 20:10,15.714,21.14,14,5.426
2023-09-30 20:05,15.778,21.161,14,5.383
2023-09-30 20:00,15.821,21.14,14,5.319
2023-09-30 19:55,15.949,21.14,14,5.191
2023-09-30 19:50,16.057,21.118,14,5.061
2023-09-30 19:45,16.164,21.183,14,5.019
2023-09-30 19:40,16.228,21.354,14,5.126
2023-09-30 19:35,16.185,21.483,14,5.298
2023-09-30 19:30,16.228,21.59,14,5.362
2023-09-30 19:25,16.25,21.698,14,5.448
2023-09-30 19:20,16.314,21.762,14,5.448
2023-09-30 19:15,16.486,21.805,14,5.319
2023-09-30 19:10,16.636,21.891,15,5.255
2023-09-30 19:05,16.85,21.955,15,5.105
2023-09-30 19:00,17.022,21.933,15,4.911
2023-09-30 18:55,17.215,22.019,15,4.804
2023-09-30 18:50,17.344,22.126,15,4.782
2023-09-30 18:45,17.429,22.277,15,4.848
2023-09-30 18:40,17.537,22.427,15,4.89
2023-09-30 18:35,17.687,22.62,15,4.933
2023-09-30 18:30,17.858,22.899,15,5.041
2023-09-30 18:25,18.008,22.984,15,4.976
2023-09-30 18:20,18.223,23.07,15,4.847
2023-09-30 18:15,18.395,23.263,15,4.868
2023-09-30 18:10,18.588,23.585,15,4.997
2023-09-30 18:05,18.781,23.842,15,5.061
2023-09-30 18:00,18.974,23.971,15,4.997
2023-09-30 17:55,19.102,24.293,15,5.191
2023-09-30 17:50,19.21,24.357,15,5.147
2023-09-30 17:45,19.295,24.679,15,5.384
2023-09-30 17:40,19.445,25.022,15,5.577
2023-09-30 17:35,19.703,24.936,15,5.233
2023-09-30 17:30,19.982,25.022,15,5.04
2023-09-30 17:25,20.067,24.915,15,4.848
2023-09-30 17:20,20.346,24.936,15,4.59
2023-09-30 17:15,20.561,24.958,15,4.397
2023-09-30 17:10,20.432,24.786,15,4.354
2023-09-30 17:05,20.282,24.765,15,4.483
2023-09-30 17:00,20.475,24.807,15,4.332
2023-09-30 16:55,20.732,24.936,15,4.204
2023-09-30 16:50,20.99,24.958,15,3.968
2023-09-30 16:45,21.204,25.344,15,4.14
2023-09-30 16:40,21.29,25.108,15,3.818
2023-09-30 16:35,21.311,25.108,15,3.797
2023-09-30 16:30,21.354,24.786,15,3.432
2023-09-30 16:25,21.612,25.129,15,3.517
2023-09-30 16:20,21.59,25.301,15,3.711
2023-09-30 16:15,21.44,25.022,15,3.582
2023-09-30 16:10,21.612,25.322,15,3.71
2023-09-30 16:05,21.676,25.022,15,3.346
2023-09-30 16:00,21.655,24.915,15,3.26
2023-09-30 15:55,21.74,24.829,15,3.089
2023-09-30 15:50,21.676,24.893,15,3.217
2023-09-30 15:45,21.719,24.765,15,3.046
2023-09-30 15:40,21.698,24.636,15,2.938
2023-09-30 15:35,21.547,24.807,15,3.26
2023-09-30 15:30,21.462,25.022,15,3.56
2023-09-30 15:25,21.311,25.172,15,3.861
2023-09-30 15:20,21.569,25.194,15,3.625
2023-09-30 15:15,21.483,25.322,15,3.839
