station_id,date,temperature,RH,dew_point,longitude,latitude
S-THC 21317937:21326446,2023-08-01 0:00,16.61783333,60.29641667,8.908416667,-73.535417,45.511028
S-THC 21317938:21206238,2023-08-01 0:00,16.23558333,61.20158333,8.766583333,-73.532472,45.518028
S-THC 21317939:21326342,2023-08-01 0:00,16.53391667,56.24316667,7.800666667,-73.586583,45.465944
S-THC 21317940:21326448,2023-08-01 0:00,16.26408333,57.36758333,7.839333333,-73.648944,45.493556
S-THC 21317941:21348257,2023-08-01 0:00,15.91733333,61.39141667,8.513083333,-73.573583,45.593194
S-THC 21317942:21326340,2023-08-01 0:00,15.96916667,65.2205,9.45575,-73.556306,45.575694
S-THC 21317943:21326444,2023-08-01 0:00,13.71525,77.02825,9.773083333,-73.568444,45.593944
S-THC 21317947:21348259,2023-08-01 0:00,15.49016667,64.63083333,8.869666667,-73.615361,45.524389
S-THC 21317948:21326445,2023-08-01 0:00,16.01716667,61.2265,8.563666667,-73.519722,45.580972
S-THC 21317949:21206231,2023-08-01 0:00,15.78691667,63.18525,8.815,-73.624667,45.57175
S-THC 21317950:21326337,2023-08-01 0:00,16.239,59.47108333,8.348416667,-73.644056,45.53125
S-THC 21317953:21348258,2023-08-01 0:00,16.07816667,59.07083333,8.093666667,-73.559639,45.573333
S-THC 21317958:21206230,2023-08-01 0:00,15.75283333,63.93633333,8.95925,-73.597917,45.585361
S-THC 21317959:21326443,2023-08-01 0:00,16.198,59.94933333,8.42625,-73.521556,45.586333
S-THC 21317960:21336805,2023-08-01 0:00,15.41858333,65.6085,9.021916667,-73.596472,45.586306
S-THC 21317937:21326446,2023-08-01 1:00,15.77766667,62.81183333,8.721,-73.535417,45.511028
S-THC 21317938:21206238,2023-08-01 1:00,15.3775,64.39866667,8.710416667,-73.532472,45.518028
S-THC 21317939:21326342,2023-08-01 1:00,15.64191667,60.12341667,7.94525,-73.586583,45.465944
S-THC 21317940:21326448,2023-08-01 1:00,15.2595,61.80183333,7.989083333,-73.648944,45.493556
S-THC 21317941:21348257,2023-08-01 1:00,15.197,63.359,8.299416667,-73.573583,45.593194
S-THC 21317942:21326340,2023-08-01 1:00,15.1755,67.83966667,9.283583333,-73.556306,45.575694
S-THC 21317943:21326444,2023-08-01 1:00,13.39541667,78.24983333,9.696083333,-73.568444,45.593944
S-THC 21317947:21348259,2023-08-01 1:00,14.78066667,67.29566667,8.793,-73.615361,45.524389
S-THC 21317948:21326445,2023-08-01 1:00,15.07,64.47958333,8.437416667,-73.519722,45.580972
