target_id,neighbor_id,distance_km,rank
S-THC 21317937:21326446,S-THC 21317938:21206238,0.811484021,1
S-THC 21317937:21326446,S-THC 21317947:21348259,6.40341167,2
S-THC 21317937:21326446,S-THC 21317939:21326342,6.406244282,3
S-THC 21317937:21326446,S-THC 21317953:21348258,7.180225863,4
S-THC 21317937:21326446,S-THC 21317942:21326340,7.372256147,5
S-THC 21317937:21326446,S-THC 21317948:21326445,7.8728696,6
S-THC 21317938:21206238,S-THC 21317937:21326446,0.811484021,1
S-THC 21317938:21206238,S-THC 21317947:21348259,6.496351959,2
S-THC 21317938:21206238,S-THC 21317953:21348258,6.503370234,3
S-THC 21317938:21206238,S-THC 21317942:21326340,6.675378568,4
S-THC 21317938:21206238,S-THC 21317948:21326445,7.069120174,5
S-THC 21317938:21206238,S-THC 21317939:21326342,7.164614443,6
S-THC 21317939:21326342,S-THC 21317940:21326448,5.750302857,1
S-THC 21317939:21326342,S-THC 21317937:21326446,6.406244282,2
S-THC 21317939:21326342,S-THC 21317947:21348259,6.875001271,3
S-THC 21317939:21326342,S-THC 21317938:21206238,7.164614443,4
S-THC 21317939:21326342,S-THC 21317950:21326337,8.53213871,5
S-THC 21317939:21326342,S-THC 21317953:21348258,12.12422622,6
S-THC 21317940:21326448,S-THC 21317950:21326337,4.208651214,1
S-THC 21317940:21326448,S-THC 21317947:21348259,4.313108609,2
S-THC 21317940:21326448,S-THC 21317939:21326342,5.750302857,3
S-THC 21317940:21326448,S-THC 21317949:21206231,8.898032439,4
S-THC 21317940:21326448,S-THC 21317937:21326446,9.058447645,5
S-THC 21317940:21326448,S-THC 21317938:21206238,9.475733995,6
S-THC 21317941:21348257,S-THC 21317943:21326444,0.40845919,1
S-THC 21317941:21348257,S-THC 21317960:21336805,1.938767245,2
S-THC 21317941:21348257,S-THC 21317958:21206230,2.084239067,3
S-THC 21317941:21348257,S-THC 21317942:21326340,2.365220338,4
S-THC 21317941:21348257,S-THC 21317953:21348258,2.460645236,5
S-THC 21317941:21348257,S-THC 21317959:21326443,4.119644578,6
S-THC 21317942:21326340,S-THC 21317953:21348258,0.369083122,1
